ID,Código,Descrição,Unidade,NCM,Preço de compra final,Situação,Estoque,Preço de custo,Fornecedor,Estoque minimo,Largura do Produto,Altura do Produto,Profundidade do produto,Código Pai,Grupo de produtos,Marca,CEST,Volumes,Descrição Curta,Cross-Docking,URL Imagens Externas,Link Externo,Meses Garantia no Fornecedor,Clonar dados do pai,Frete Grátis,Número FCI,Unidade de medida
16582724414,653,G ROUPA BIANCHI ALVORADA 6PT 6GV 43574.1 Branco,UN,,"1.649,00",Ativo,0,"416,79",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16577319102,647,G ROUPA BIANCHI BIANCA 6PT 6GV,un,,"1.349,00",Ativo,-1,"336,24",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16495971408,299,G Roupa Casal Atualle Real 6pt 2gv Esp Pes,UN,,549,Ativo,-6,"159,48",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16536862460,550,G Roupa Casal Atualle Real 6pt 2gv Esp Pes,un,,699,Ativo,0,"175,43",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16593041636,687,G Roupa Casal Made Marcs Verona Plus 2pt 4gv C/Esp SALVADOS,un,,"1.499,00",Ativo,-1,"411,23",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16550163735,582,G Roupa Casal Tcil Veneza 6pt 4gv,un,,"1.599,00",Ativo,0,"431,53",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16601217569,726,G Roupa Demartez Laredo 4p 2p Esp Flex 4gv SALVADOS,UN,,"1.999,00",Ativo,-1,"778,4",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16568131276,622,G Roupa Demobile Cadis 4pt 6gv Esp Pes,UN,,999,Ativo,-2,"364,82",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16554162742,601,G Roupa Demobile Moema 3pt 2gv SALVADOS,UN,,"1.499,00",Ativo,0,"363,82",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16571467343,628,G ROUPA DORIPEL NEW XANGAI 6PT 2GV MDF 68600-130 Lunar Nogueira,UN,,699,Ativo,-1,"175,53",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
